中文名,外文名,ICAO代码,IATA代码,通航日期,所属地区,飞行区等级,机场类型,地区管理,航站楼面积,机位数量,跑道长度,航线数量,通航城市,旅客吞吐量,货邮吞吐量,起降架次,运营机构,开通城市,总投资,跑&nbsp;&nbsp;&nbsp;&nbsp;道,轨道交通线路站点,铁&nbsp;&nbsp;&nbsp;&nbsp;路,旅客捷运系统,枢纽航司,地&nbsp;&nbsp;&nbsp;&nbsp;址,安全管理机构,设计旅客年吞吐量,设计货邮年吞吐量,东跑道长度,西跑道长度,跑道宽度,客运航线,地理位置,始建时间,航站楼数量,机场地址,通航时间,机场代码,机场性质
成都天府国际机场,Chengdu Tianfu International Airport,ZUTF,TFU,2021年6月27日,中国 四川省 成都市,4F,民用运输机场,中国民用航空西南地区管理局,719600 m² （截至2021年6月）,210 个 （截至2021年6月）,4000米、3800米、3200米，共3条,70 条 [109] （2024年4月）,151座 （2022/2023年冬春航季）,4478.6 万人次 [86] [99] （2023年）,81164.9 吨 （2022年）,120270架次 （2022年）,四川省机场集团有限公司成都天府国际机场分公司 成都天府国际机场管理委员会,,,,,,,,,,,,,,,,,,,,,,
营口兰旗机场,Yingkou Lanqi Airport,ZYYK,YKH,2016年2月3日,中国辽宁省营口市,4C级,民用运输机场,中国民用航空东北地区管理局,20000 m² （截至2022年12月）,6 个 （截至2022年12月）,2500 m （截至2022年12月）,7 条 （2022/2023年冬春航季）,10座（2022/2023年冬春航季）,151526 人次 （2021年）,801.3 吨 （2021年）,1899架次（2021年）,海航集团有限公司 营口机场有限公司,,,,,,,,,,,,,,,,,,,,,,
芜湖宣州机场,Wuhu Xuanzhou Airport,ZSWA,WHA,2021年4月30日,中国安徽省芜湖市、宣城市,4C级,民用运输机场,中国民用航空华东地区管理局,25000 m² （截至2021年4月）,41 个 （截至2021年4月）,2800 m （截至2021年4月）,28 条 （2023年夏秋航季）,35座（2023年夏秋航季）,387216 人次 （2022年）,5029.6 吨 （2022年）,12889架次（2022年）,芜湖宣城机场建设投资有限公司,,,,,,,,,,,,,,,,,,,,,,
乌兰察布集宁机场,ULANQAB JINING AIRPORT,ZBUC,UCB,2016年4月25日,中国内蒙古自治区乌兰察布市,4C,民用运输机场,中国民用航空华北地区管理局,35773 m² （截至2022年6月）,9 个 （截至2022年6月）,3200 m （截至2022年6月）,4 条 （2022年夏秋航季）,6座（2022年夏秋航季）,44571 人次 （2021年）,21.9 吨 （2021年）,2299架次（2021年）,内蒙古自治区民航机场集团有限责任公司 内蒙古乌兰察布民航机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
果洛大武机场,Guoluo Maqin Airport,ZLGL,GMQ,2016年7月1日,中国青海省果洛藏族自治州,4C级,民用运输机场,中国民用航空西南地区管理局,3000平方米（截至2020年4月）,4个（截至2020年4月）,3800米（截至2020年4月）,1条（截至2020年4月）,1个（截至2020年4月）,13.5125万人次（2019年）,1243.1吨（2019年）,1388架次（2019年）,西部机场集团青海机场有限公司,,,,,,,,,,,,,,,,,,,,,,
建三江湿地机场,Jiansanjiang Wetland Airport,ZYJS,JSJ,2017年10月29日,中国 黑龙江省 佳木斯市 富锦市,4C,民用运输机场,中国民用航空东北地区管理局,3000 m² （截至2015年8月）,4 个 （截至2015年8月）,2500 m （截至2015年8月）,4 条,,101426 人次 （2024年）,,2633 （2024年）,首都机场集团有限公司 黑龙江省机场管理集团有限公司 建三江湿地机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
海西茫崖机场,Haixi Mangya Airport,ZLHX,HTT,2015年6月26日,中国青海省海西蒙古族藏族自治州,4C,民用运输机场,中国民用航空西北地区管理局,3000 m² （截至2024年5月）,4 个 （截至2024年5月）,3600 m （截至2024年5月）,2 条 （2025年夏秋航季）,3座（2025年夏秋航季）,75554 人次 （2024年）,345.9 吨 （2024年）,1072架次（2024年）,西部机场集团 青海机场有限公司花土沟机场分公司,,,,,,,,,,,,,,,,,,,,,,
巴里坤大河机场,Balikun Dahe Airport,ZWLK,DHH,2025年7月11日,中国新疆维吾尔自治区巴里坤哈萨克自治县,4C,民用机场 [24],中国民用航空新疆管理局,4000 m² （截至2025年7月）,5 个 （截至2025年7月）,3000 m （截至2025年7月）,2 条 （2025年夏秋航季）,5座 （据2025航班时刻表显示）,,,,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
三沙永兴机场,Sansha Yongxing Airport,ZJYX,XYI,2016年12月22日,中国海南省三沙市,4C级,军民合用机场,中国民用航空中南地区管理局,3500平方米（截至2016年12月）,4个（截至2016年12月）,3000米（截至2016年12月）,1 条 （2022年夏秋航季）,1座（2022年夏秋航季）,36405 人次 （2021年）,200.2 吨 （2021年）,523架次（2021年）,海南机场设施股份有限公司 三沙永兴机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
绥芬河东宁机场,Suifenhe Dongning Airport,ZYSD,HSF,2024年12月28日,中国黑龙江省牡丹江市,4C,民用运输机场,中国民用航空东北地区管理局,4874 m² （截至2024年12月）,6 个 （截至2024年12月）,2500 m （截至2024年12月）,2 条 （2024/2025年冬春航季）,4座（2024/2025年冬春航季）,,,,黑龙江省机场管理集团有限公司,,,,,,,,,,,,,,,,,,,,,,
